auction_id,item_type,item_name,price,posted_on,begins_at,ends_at,contact_tel,auction_id_long,item_url
220861,Bútor,2 db szék,8000,2020-09-02 08:00:00,2020-09-28 08:00:00,2020-10-01 21:00:00,06(1)4679780,220861/200831,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220861&FRAME_SKIP_DEJAVU=1
219956,Bútor,2 személyes kanapé,30000,2020-09-01 19:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4273625,219956/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219956&FRAME_SKIP_DEJAVU=1
216033,Egyéb,INCIPIO Samsung GALAXY S5 tok,11250,2020-07-16 15:15:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(42)503279,216033/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=216033&FRAME_SKIP_DEJAVU=1
218829,Egyéb,Szerelőkeret,42000,2020-07-15 09:47:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218829/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218829&FRAME_SKIP_DEJAVU=1
218834,Egyéb,Szelepbetét,20000,2020-07-15 09:48:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218834/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218834&FRAME_SKIP_DEJAVU=1
218851,Egyéb,Tubolit csőszigetelő,44000,2020-07-15 10:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218851/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218851&FRAME_SKIP_DEJAVU=1
218900,Egyéb,Golyóscsap,32000,2020-07-16 09:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218900/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218900&FRAME_SKIP_DEJAVU=1
218903,Egyéb,Golyóscsap,82000,2020-07-16 09:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218903/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218903&FRAME_SKIP_DEJAVU=1
218923,Egyéb,Forrasztó ón,10000,2020-07-16 13:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218923/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218923&FRAME_SKIP_DEJAVU=1
218943,Egyéb,Colos T idom,66000,2020-07-16 14:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218943/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218943&FRAME_SKIP_DEJAVU=1
218948,Egyéb,Szerelvény csomag,12000,2020-07-16 14:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218948/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218948&FRAME_SKIP_DEJAVU=1
218982,Egyéb,Munkapad,400000,2020-07-17 15:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(30)3436783,218982/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218982&FRAME_SKIP_DEJAVU=1
219008,Egyéb,Munkaasztal,150000,2020-07-17 15:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(30)3436783,219008/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219008&FRAME_SKIP_DEJAVU=1
219390,Egyéb,185. TÉTEL 6 DB RED BRACKET FALI TARTÓ TV- HEZ,24000,2020-07-24 17:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4677238,219390/200723,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219390&FRAME_SKIP_DEJAVU=1
219743,Egyéb,91. tétel 8db Red Bracket VELCD-201B falikonzol,24000,2020-07-29 17:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4677238,219743/200728,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219743&FRAME_SKIP_DEJAVU=1
219909,Egyéb,ELEFÁNTOT ÁBRÁZOLÓ KŐBŐL KÉSZÜLT DÍSZTÁRGY,350000,2020-08-06 17:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4677238,219909/200805,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219909&FRAME_SKIP_DEJAVU=1
219998,Egyéb,Tárcsamaró ,140000,2020-08-11 08:17:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(52)517372,219998/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219998&FRAME_SKIP_DEJAVU=1
220061,Egyéb,Szerszámtartó szekrény 6 fiókos,60000,2020-08-11 13:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(46)515666,220061/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220061&FRAME_SKIP_DEJAVU=1
220249,Egyéb,táska,6000,2020-08-14 09:37:00,2020-10-09 08:00:00,2020-10-12 21:00:00,06(74)501486,220249/200814,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220249&FRAME_SKIP_DEJAVU=1
220457,Egyéb,"Servus meggypálinka 1,0 l-es, 51% alkoholtartalom",26000,2020-08-18 10:28:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(30)9998398,220457/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220457&FRAME_SKIP_DEJAVU=1
220469,Egyéb,"Ágyas meggypálinka, lédig, 48,8% alkoholfok",372000,2020-08-18 11:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(30)9998398,220469/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220469&FRAME_SKIP_DEJAVU=1
221082,Egyéb,GÜDE AIRPOWER KOMPRESSZOR ,40000,2020-09-01 15:45:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221082/200901,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221082&FRAME_SKIP_DEJAVU=1
221186,Egyéb,Búvárszivattyú (400W),75000,2020-09-01 16:30:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221186/200901,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221186&FRAME_SKIP_DEJAVU=1
221223,Egyéb,Búvárszivattyú (750W),75000,2020-09-02 14:30:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221223/200902,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221223&FRAME_SKIP_DEJAVU=1
221363,Egyéb,ACTIVE FUTURE IN SPORTS ping-pong asztal,50000,2020-09-03 15:45:00,2020-10-30 08:00:00,2020-11-02 21:00:00,06(42)503279,221363/200903,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221363&FRAME_SKIP_DEJAVU=1
216115,Egyéb,Samsung Galaxy Avant tok,6000,2020-07-16 15:15:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(42)503279,216115/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=216115&FRAME_SKIP_DEJAVU=1
217006,Egyéb,"(20. t.) Női esernyő, sötétkék-fehér pöttyös, új",2000,2020-08-14 17:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)2372585,217006/200722,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=217006&FRAME_SKIP_DEJAVU=1
218824,Egyéb,OVENTROP szabályozó szelep,30000,2020-07-15 09:38:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218824/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218824&FRAME_SKIP_DEJAVU=1
218862,Egyéb,Vegyes szerelvényáru,44000,2020-07-15 10:40:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218862/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218862&FRAME_SKIP_DEJAVU=1
218885,Egyéb,Reflex tágulási tartály,32000,2020-07-16 08:26:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218885/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218885&FRAME_SKIP_DEJAVU=1
218925,Egyéb,Könyök,12000,2020-07-16 13:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218925/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218925&FRAME_SKIP_DEJAVU=1
218938,Egyéb,Euroconus csatlakozó,32000,2020-07-16 14:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218938/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218938&FRAME_SKIP_DEJAVU=1
219006,Egyéb,Munkaasztal,150000,2020-07-17 15:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(30)3436783,219006/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219006&FRAME_SKIP_DEJAVU=1
219369,Egyéb,171. TÉTEL 9 DB LENSPEN VIDIMAX MONITORTISZTÍTÓ,9000,2020-07-24 17:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4677238,219369/200723,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219369&FRAME_SKIP_DEJAVU=1
220010,Egyéb,PATRON BEN 4 BASIC STD  junior kerekesszék,112000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220010/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220010&FRAME_SKIP_DEJAVU=1
220035,Egyéb,"felfekvés elleni matrac, alkatrész, csővel",20000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220035/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220035&FRAME_SKIP_DEJAVU=1
220052,Egyéb,SAFEHIP  csípővédő alsó viselet,216000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220052/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220052&FRAME_SKIP_DEJAVU=1
220054,Egyéb,ICE CAP (jégsapka),12000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220054/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220054&FRAME_SKIP_DEJAVU=1
220058,Egyéb,Szerszámtartó szekrény 8 fiókos,40000,2020-08-11 13:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(46)515666,220058/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220058&FRAME_SKIP_DEJAVU=1
220067,Egyéb,DIGITAL PRINTER  nyomtató,980000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220067/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220067&FRAME_SKIP_DEJAVU=1
220446,Egyéb,"Servus ágyas meggy 0,5 l-es, 40% alkoholtartalom",30000,2020-08-18 09:20:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(30)9998398,220446/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220446&FRAME_SKIP_DEJAVU=1
220455,Egyéb,"Servus vegyespálinka 0,5 l-es, 40% alkoholtartalom",26000,2020-08-18 10:28:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(30)9998398,220455/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220455&FRAME_SKIP_DEJAVU=1
221165,Egyéb,Güde magasnyomású mosó GHD 225 pisztoly nélkül,80000,2020-09-01 16:30:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221165/200901,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221165&FRAME_SKIP_DEJAVU=1
218849,Egyéb,Csőradiátor,96000,2020-07-15 10:36:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218849/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218849&FRAME_SKIP_DEJAVU=1
218891,Egyéb,Gáz flexi bekötőcső,32000,2020-07-16 08:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218891/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218891&FRAME_SKIP_DEJAVU=1
218905,Egyéb,Tipli+csavar,16000,2020-07-16 10:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218905/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218905&FRAME_SKIP_DEJAVU=1
218914,Egyéb,Flexi vízcső,16000,2020-07-16 10:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218914/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218914&FRAME_SKIP_DEJAVU=1
218935,Egyéb,Menetes sarok hollandi,26000,2020-07-16 14:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218935/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218935&FRAME_SKIP_DEJAVU=1
218952,Egyéb,Szerelvény csomag,18000,2020-07-16 14:38:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218952/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218952&FRAME_SKIP_DEJAVU=1
219009,Egyéb,Munkaasztal,150000,2020-07-17 15:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(30)3436783,219009/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219009&FRAME_SKIP_DEJAVU=1
219388,Egyéb,248. TÉTEL 3 DB  SP GADGETS DUAL MOUNT,10000,2020-07-24 17:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4677238,219388/200723,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219388&FRAME_SKIP_DEJAVU=1
219483,Egyéb,246. TÉTEL 12 DB  KÜLÖNFÉLE KAMERA ÁLLVÁNY,120000,2020-07-27 17:00:00,2020-09-14 08:00:00,2020-09-17 21:00:00,06(1)4677238,219483/200724,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219483&FRAME_SKIP_DEJAVU=1
220030,Egyéb,5 fiókos rozsdamentes sürgősségi kocsi,980000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220030/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220030&FRAME_SKIP_DEJAVU=1
220095,Egyéb,elektromos radiátor,40000,2020-08-11 10:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(36)512477,220095/200811,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220095&FRAME_SKIP_DEJAVU=1
220436,Egyéb,HARVIA típusú finn szauna,1600000,2020-08-18 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(82)508628,220436/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220436&FRAME_SKIP_DEJAVU=1
220465,Egyéb,"Vilmoskörte pálinka, lédig, 52,5% alkoholfok",124000,2020-08-18 10:28:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(30)9998398,220465/200818,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220465&FRAME_SKIP_DEJAVU=1
220599,Egyéb,"Ipari kazán, tüzelőanyag adagolóval ",2900000,2020-08-26 10:44:00,2020-09-26 08:00:00,2020-09-29 21:00:00,06(92)505872,220599/200826,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220599&FRAME_SKIP_DEJAVU=1
221044,Egyéb,Légtechnikai idomok,400000,2020-09-02 08:46:00,2020-09-28 08:00:00,2020-10-01 21:00:00,06(82)508642,221044/200901,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221044&FRAME_SKIP_DEJAVU=1
221225,Egyéb,Mr. Gardener SP 19000 INOX búvárszivattyú,150000,2020-09-02 15:30:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221225/200902,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221225&FRAME_SKIP_DEJAVU=1
221248,Egyéb,Szigetelt koracél kémény,700000,2020-09-03 08:00:00,2020-10-01 08:00:00,2020-10-04 21:00:00,06(79)526650,221248/200902,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221248&FRAME_SKIP_DEJAVU=1
221271,Egyéb,GÜDE hőlégfúvó,20000,2020-09-02 15:30:00,2020-10-23 08:00:00,2020-10-26 21:00:00,06(42)503279,221271/200902,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=221271&FRAME_SKIP_DEJAVU=1
216114,Egyéb,Samsung Galaxy Note 8.0 Magnetic Book Cover Case  ,9000,2020-07-16 15:15:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(42)503279,216114/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=216114&FRAME_SKIP_DEJAVU=1
216657,Egyéb,Elego first class babakocsi,25000,2020-08-13 15:55:00,2020-10-02 08:00:00,2020-10-05 21:00:00,06(42)503279,216657/200813,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=216657&FRAME_SKIP_DEJAVU=1
218832,Egyéb,VENTS ventillátor,48000,2020-07-15 09:47:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218832/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218832&FRAME_SKIP_DEJAVU=1
218860,Egyéb,Vegyes szerelvényáru,76000,2020-07-15 10:39:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218860/200715,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218860&FRAME_SKIP_DEJAVU=1
218892,Egyéb,Gáz flexi bekötőcső,64000,2020-07-16 08:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218892/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218892&FRAME_SKIP_DEJAVU=1
218897,Egyéb,Golyóscsap,62000,2020-07-16 08:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218897/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218897&FRAME_SKIP_DEJAVU=1
218908,Egyéb,Flexi vízcső,10000,2020-07-16 10:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218908/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218908&FRAME_SKIP_DEJAVU=1
218915,Egyéb,Flexi vízcső,12000,2020-07-16 10:31:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218915/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218915&FRAME_SKIP_DEJAVU=1
218921,Egyéb,Vasfűrészlap,10000,2020-07-16 12:37:00,2020-09-11 08:00:00,2020-09-14 21:00:00,06(74)501486,218921/200716,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=218921&FRAME_SKIP_DEJAVU=1
219742,Egyéb,90. tétel 12 db Red Bracket VEPLB-466 falikonzol,120000,2020-07-29 17:00:00,2020-09-21 08:00:00,2020-09-24 21:00:00,06(1)4677238,219742/200728,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219742&FRAME_SKIP_DEJAVU=1
219995,Egyéb,Lánckerék lefejtőmaró ,50000,2020-08-11 08:15:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(52)517372,219995/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=219995&FRAME_SKIP_DEJAVU=1
220009,Egyéb,BEROLKA VF1-2902 típusú kerekesszék,1600000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220009/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220009&FRAME_SKIP_DEJAVU=1
220045,Egyéb,"MEDEC BENELUX altatógéphez, alkatrész",340000,2020-08-13 08:00:00,2020-09-07 08:00:00,2020-09-10 21:00:00,06(1)4607806,220045/200810,https://arveres.nav.gov.hu/index-meghirdetesek-ingosag.html?.actionId=action.auction.AuctionSummaryAction&auctionId=220045&FRAME_SKIP_DEJAVU=1
